7,0,7,26
7,0,0,52
7,0,231,130
7,0,175,104
7,0,199,130
7,1,107,130
7,0,131,130
7,0,3,130
7,1,69,52
7,0,20,26
7,0,74,52
7,1,336,130
7,0,236,130
7,0,365,130
7,0,69,52
7,1,112,156
7,1,305,130
7,1,196,156
7,1,322,156
7,0,113,130
7,1,136,156
7,0,198,130
7,0,178,131
7,0,38,52
7,0,297,130
7,1,167,130
7,1,394,131
7,1,165,130
7,0,147,156
7,1,78,27
7,0,255,157
7,1,298,130
7,1,61,26
7,0,117,130
7,0,225,130
7,0,59,157
7,0,84,52
7,1,268,130
7,0,272,131
7,1,173,130
7,1,166,131
7,1,275,130
7,1,281,156
7,0,67,52
7,1,330,156
7,1,245,131
7,0,50,156
7,0,336,157
7,0,25,26
7,1,63,52
7,1,34,52
7,1,379,130
7,1,271,131
7,1,170,130
7,1,291,52
7,1,4,52
7,0,122,104
7,1,33,52
7,0,18,27
7,1,399,131
7,1,122,130
7,1,57,52
7,0,213,130
7,1,373,104
7,1,323,130
7,1,34,26
7,1,329,130
7,0,228,104
7,1,288,130
7,0,165,130
7,0,179,130
7,1,34,26
7,0,166,157
7,0,71,52
7,0,259,130
7,0,72,131
7,1,271,157
7,0,378,131
7,1,144,156
7,1,277,104
7,1,91,52
7,0,351,130
7,0,3,104
7,1,330,104
7,0,369,156
7,0,98,157
7,0,164,130
7,0,65,26
7,0,86,52
7,1,231,130
7,0,154,130
7,0,378,130
7,0,277,130
7,1,284,130
7,1,91,26
7,1,381,131
7,1,328,130
7,0,313,130
7,0,398,130
7,0,276,156
7,1,69,52
7,0,82,130
7,0,169,131
7,0,390,130
7,1,127,131
7,0,262,131
7,1,179,130
7,0,52,53
7,1,300,130
7,1,8,26
7,0,83,156
7,0,36,26
7,1,29,52
7,1,237,130
7,0,186,156
7,0,314,156
7,1,241,130
7,1,363,131
7,0,349,156
7,0,282,130
7,0,323,130
7,1,70,26
7,0,111,130
7,0,187,131
7,0,279,130
7,1,227,131
7,0,243,157
7,0,60,52
7,0,235,130
7,0,217,130
7,1,173,157
7,0,57,52
7,0,96,52
7,0,176,156
7,0,371,130
7,1,148,52
7,1,0,52
7,1,6,26
7,0,345,130
7,0,61,26
